item_id	tag
10593	[4537, 4538]
10594	[4483, 4538]
10595	[]
10596	[127175, 581514]
10597	[4537, 650659]
10598	[4483, 4537]
10599	[4483]
10600	[]
10601	[]
10602	[4483, 4537, 4538, 95987]
10603	[4537]
10604	[4537]
10605	[]
10606	[]
10607	[4483, 4537]
10608	[4483, 106546, 529295]
10609	[4483, 4537, 95987]
10610	[1229821]
10611	[4483, 4536, 4537, 4538]
10612	[4537, 529295]
10613	[4483]
10614	[4537, 529295, 1070524]
10615	[4537, 1225174]
10616	[4537]
10617	[4537]
10618	[4537, 4538]
10619	[4537]
10620	[4537]
10621	[]
10622	[4483, 4537, 447913, 581514, 650659, 1229817]
10623	[4483, 4537, 4538, 529295]
10624	[4483, 4537]
10625	[106546, 529295, 1229817]
10626	[4483, 4537]
10627	[4537, 95987, 522484, 529295, 650659, 1070524]
10628	[4537]
10629	[]
10630	[5065]
10631	[4483, 106546, 127175, 522484]
10632	[1070524]
10633	[4537]
10634	[4537, 127175, 447913, 529295, 1070524]
10635	[106546, 127175, 522484, 581514]
10636	[4483, 4537, 106546]
10637	[4537]
10638	[4483, 4537, 106546, 1070524, 1085065]
10639	[5065, 447913, 522484]
10640	[4537]
10641	[4483, 4537, 1070524]
10642	[]
10643	[4537, 4538, 529295]
10644	[]
10645	[4483, 4537]
10646	[4483, 4537]
10647	[4483, 4537]
10648	[4538]
10649	[5065, 1229821]
10650	[4483, 4537, 1070524]
10651	[4483, 4537]
10652	[447913]
10653	[529295]
10654	[4538, 447913, 529295, 1070524]
10655	[4483, 1070524]
10656	[4537, 4538]
10657	[]
10658	[4483, 4537, 106546, 1070524, 1225174]
10659	[4483]
10660	[4483, 4537, 4538]
10661	[4483, 4537, 1070524]
10662	[4483, 4537]
10663	[1070524]
10664	[4538, 529295, 581514]
10665	[4537, 106546, 127175, 522484]
10666	[4483, 4537]
10667	[4457, 4537]
10668	[4483, 4537, 4538, 447913]
10669	[4483, 4537, 1070524]
10670	[4537, 95987, 447913, 1070524, 1085065]
10671	[4483, 4537, 106546]
10672	[4483, 4537, 1070524]
10673	[4483, 5065]
10674	[]
10675	[4483, 4537, 4538, 529295, 1085065]
10676	[]
10677	[4537, 4538, 650659]
10678	[5065]
10679	[4537]
10680	[4537, 581514]
10681	[4483, 4537, 4538]
10682	[4483]
10683	[4483, 4537]
10684	[4537, 106546, 127175, 1070524]
10685	[4538]
10686	[4483, 4537, 106546, 447913, 1070524]
10687	[4483, 4537, 581514, 1229817]
10688	[1229821]
10689	[4537, 95987, 650659, 1071165]
10690	[127175]
10691	[]
10692	[]
10693	[]
10694	[4537]
10695	[4537, 95987]
10696	[4483]
10697	[4483, 1070524]
10698	[4483]
10699	[4483, 4537, 447913, 529295]
10700	[4483]
10701	[4537]
10702	[4483, 4538]
10703	[4483, 4537]
10704	[4537]
10705	[]
10706	[]
10707	[]
10708	[4483, 4537, 4538, 529295]
10709	[4483, 4538]
10710	[4538, 447913]
10711	[106546, 447913]
10712	[4536]
10713	[4537]
10714	[]
10715	[4537, 447913, 1070524]
10716	[4483, 4537, 4538]
10717	[4537]
10718	[4483, 4537]
10719	[4483, 4537, 4538, 95987, 1229817]
